title,year,genre,director,cast,countries,rating,languages
Friday Night Lights,2004,"['Action', 'Drama', 'Sport']",[<Person id:0000916[http] name:_Peter Berg_>],"[<Person id:0000671[http] name:_Billy Bob Thornton_>, <Person id:0085407[http] name:_Lucas Black_>, <Person id:1330560[http] name:_Garrett Hedlund_>, <Person id:1035682[http] name:_Derek Luke_>, <Person id:0379596[http] name:_Jay Hernandez_>, <Person id:1430960[http] name:_Lee Jackson_>, <Person id:0949810[http] name:_Lee Thompson Young_>, <Person id:0005210[http] name:_Tim McGraw_>, <Person id:0183462[http] name:_Grover Coulson_>, <Person id:0110168[http] name:_Connie Britton_>]","['Germany', 'United States']",7.2,['English']
Clue,1985,"['Comedy', 'Crime', 'Mystery']",[<Person id:0528718[http] name:_Jonathan Lynn_>],"[<Person id:0107281[http] name:_Eileen Brennan_>, <Person id:0000347[http] name:_Tim Curry_>, <Person id:0001404[http] name:_Madeline Kahn_>, <Person id:0000502[http] name:_Christopher Lloyd_>, <Person id:0571106[http] name:_Michael McKean_>, <Person id:0611898[http] name:_Martin Mull_>, <Person id:0000690[http] name:_Lesley Ann Warren_>, <Person id:0131974[http] name:_Colleen Camp_>, <Person id:0898962[http] name:_Lee Ving_>, <Person id:0376347[http] name:_Bill Henderson_>]",['United States'],7.3,"['English', 'French']"
Clueless,1995,"['Comedy', 'Romance']",[<Person id:0002132[http] name:_Amy Heckerling_>],"[<Person id:0000224[http] name:_Alicia Silverstone_>, <Person id:0001107[http] name:_Stacey Dash_>, <Person id:0005261[http] name:_Brittany Murphy_>, <Person id:0748620[http] name:_Paul Rudd_>, <Person id:0265668[http] name:_Donald Faison_>, <Person id:0232975[http] name:_Elisa Donovan_>, <Person id:0005227[http] name:_Breckin Meyer_>, <Person id:0005438[http] name:_Jeremy Sisto_>, <Person id:0000445[http] name:_Dan Hedaya_>, <Person id:0511004[http] name:_Aida Linares_>]",['United States'],6.8,"['English', 'Spanish']"
The Florida Project,2017,['Drama'],[<Person id:0048918[http] name:_Sean Baker_>],"[<Person id:7737419[http] name:_Brooklynn Prince_>, <Person id:8912882[http] name:_Christopher Rivera_>, <Person id:6566215[http] name:_Aiden Malik_>, <Person id:5339860[http] name:_Josie Olivo_>, <Person id:8557023[http] name:_Valeria Cotto_>, <Person id:3208044[http] name:_Edward Pagan_>, <Person id:8458915[http] name:_Bria Vinaite_>, <Person id:5706763[http] name:_Patti Wiley_>, <Person id:8912883[http] name:_Jasineia Ramos_>, <Person id:0000353[http] name:_Willem Dafoe_>]",['United States'],7.6,"['English', 'Spanish', 'Portuguese']"
La La Land,2016,"['Comedy', 'Drama', 'Music']",[<Person id:3227090[http] name:_Damien Chazelle_>],"[<Person id:0331516[http] name:_Ryan Gosling_>, <Person id:1297015[http] name:_Emma Stone_>, <Person id:2353430[http] name:_Amiée Conn_>, <Person id:0881814[http] name:_Terry Walters_>, <Person id:3235876[http] name:_Thom Shelton_>, <Person id:1197574[http] name:_Cinda Adams_>, <Person id:5555747[http] name:_Callie Hernandez_>, <Person id:1557329[http] name:_Jessica Rothe_>, <Person id:4420495[http] name:_Sonoya Mizuno_>, <Person id:1679669[http] name:_Rosemarie DeWitt_>]","['United States', 'Hong Kong']",8.0,"['English', 'Cantonese']"
Easy A,2010,"['Comedy', 'Drama', 'Romance']",[<Person id:0323239[http] name:_Will Gluck_>],"[<Person id:1297015[http] name:_Emma Stone_>, <Person id:0046112[http] name:_Penn Badgley_>, <Person id:0004789[http] name:_Amanda Bynes_>, <Person id:0126004[http] name:_Dan Byrd_>, <Person id:0002006[http] name:_Thomas Haden Church_>, <Person id:0165101[http] name:_Patricia Clarkson_>, <Person id:1544217[http] name:_Cam Gigandet_>, <Person id:0001435[http] name:_Lisa Kudrow_>, <Person id:0000532[http] name:_Malcolm McDowell_>, <Person id:1425528[http] name:_Aly Michalka_>]",['United States'],7.0,['English']
Don Jon,2013,"['Comedy', 'Drama', 'Romance']",[<Person id:0330687[http] name:_Joseph Gordon-Levitt_>],"[<Person id:0330687[http] name:_Joseph Gordon-Levitt_>, <Person id:0424060[http] name:_Scarlett Johansson_>, <Person id:0000194[http] name:_Julianne Moore_>, <Person id:0001103[http] name:_Tony Danza_>, <Person id:0000444[http] name:_Glenne Headly_>, <Person id:0488953[http] name:_Brie Larson_>, <Person id:0114532[http] name:_Rob Brown_>, <Person id:1157053[http] name:_Jeremy Luke_>, <Person id:0070115[http] name:_Paul Ben-Victor_>, <Person id:2680758[http] name:_Italia Ricci_>]",['United States'],6.5,['English']
There Will Be Blood,2007,['Drama'],[<Person id:0000759[http] name:_Paul Thomas Anderson_>],"[<Person id:0000358[http] name:_Daniel Day-Lewis_>, <Person id:2872491[http] name:_Martin Stringer_>, <Person id:2872058[http] name:_Matthew Braden Stringer_>, <Person id:2871845[http] name:_Jacob Stringer_>, <Person id:2872133[http] name:_Joseph Mussey_>, <Person id:0215916[http] name:_Barry Del Sherman_>, <Person id:2871955[http] name:_Harrison Taylor_>, <Person id:2871847[http] name:_Stockton Taylor_>, <Person id:0006670[http] name:_Paul F. Tompkins_>, <Person id:2827673[http] name:_Dillon Freasier_>]",['United States'],8.2,"['English', 'American Sign Language']"
10 Things I Hate About You,1999,"['Comedy', 'Drama', 'Romance']",[<Person id:0432627[http] name:_Gil Junger_>],"[<Person id:0005132[http] name:_Heath Ledger_>, <Person id:0005466[http] name:_Julia Stiles_>, <Person id:0330687[http] name:_Joseph Gordon-Levitt_>, <Person id:0646351[http] name:_Larisa Oleynik_>, <Person id:0472710[http] name:_David Krumholtz_>, <Person id:0005080[http] name:_Andrew Keegan_>, <Person id:0006721[http] name:_Susan May Pratt_>, <Person id:0005517[http] name:_Gabrielle Union_>, <Person id:0588777[http] name:_Larry Miller_>, <Person id:0593258[http] name:_Daryl Mitchell_>]",['United States'],7.3,"['English', 'French']"
Apocalypse Now,1979,"['Drama', 'Mystery', 'War']",[<Person id:0000338[http] name:_Francis Ford Coppola_>],"[<Person id:0000008[http] name:_Marlon Brando_>, <Person id:0000640[http] name:_Martin Sheen_>, <Person id:0000380[http] name:_Robert Duvall_>, <Person id:0002078[http] name:_Frederic Forrest_>, <Person id:0098734[http] name:_Sam Bottoms_>, <Person id:0000401[http] name:_Laurence Fishburne_>, <Person id:0355278[http] name:_Albert Hall_>, <Person id:0000148[http] name:_Harrison Ford_>, <Person id:0000454[http] name:_Dennis Hopper_>, <Person id:0819525[http] name:_G.D. Spradlin_>]",['United States'],8.4,"['English', 'French', 'Vietnamese']"
Jarhead,2005,"['Action', 'Biography', 'Drama']",[<Person id:0005222[http] name:_Sam Mendes_>],"[<Person id:0350453[http] name:_Jake Gyllenhaal_>, <Person id:0531924[http] name:_Scott MacDonald_>, <Person id:0765597[http] name:_Peter Sarsgaard_>, <Person id:0004937[http] name:_Jamie Foxx_>, <Person id:0591247[http] name:_Ming Lo_>, <Person id:0085407[http] name:_Lucas Black_>, <Person id:1080555[http] name:_Kevin Foster_>, <Person id:1310016[http] name:_Brian Geraghty_>, <Person id:1364280[http] name:_Damion Poitier_>, <Person id:0301734[http] name:_Riad Galayini_>]","['United States', 'United Kingdom', 'Germany']",7.0,"['English', 'Spanish', 'Arabic']"
Creepozoids,1987,"['Horror', 'Sci-Fi']",[<Person id:0213983[http] name:_David DeCoteau_>],"[<Person id:0001643[http] name:_Linnea Quigley_>, <Person id:0008949[http] name:_Ken Abraham_>, <Person id:0032995[http] name:_Michael Aranda_>, <Person id:0370209[http] name:_Richard L. Hawkins_>, <Person id:0570896[http] name:_Ashlyn Gere_>, <Person id:0933654[http] name:_Joi Wilson_>]",['United States'],3.9,['English']
